Engineering Strain (unitless),Engineering Stress (Pa)
0.0407,43846153.84615385
0.0408,43846153.84615385
0.0408,43846153.84615385
0.0409,43846153.84615385
0.040999999999999995,44102564.102564104
0.040999999999999995,44102564.102564104
0.041100000000000005,44102564.102564104
0.041100000000000005,44102564.102564104
0.0412,44102564.102564104
0.0412,44102564.102564104
0.041299999999999996,44358974.35897436
0.0414,44358974.35897436
0.0414,44358974.35897436
0.0415,44358974.35897436
0.0415,44358974.35897436
0.0416,44358974.35897436
0.0416,44358974.35897436
0.0417,44615384.615384616
0.0418,44615384.615384616
0.0418,44615384.615384616
0.04190000000000001,44615384.615384616
0.04190000000000001,44615384.615384616
0.042,44615384.615384616
0.042,44615384.615384616
0.0421,44615384.615384616
0.042199999999999994,44871794.87179487
0.042199999999999994,44871794.87179487
0.042300000000000004,44871794.87179487
0.042300000000000004,44871794.87179487
0.0424,44871794.87179487
0.0424,44871794.87179487
0.0425,44871794.87179487
0.0426,44871794.87179487
0.0426,44871794.87179487
0.042699999999999995,45128205.12820513
0.042699999999999995,45128205.12820513
0.042800000000000005,45128205.12820513
0.042800000000000005,45128205.12820513
0.0429,45128205.12820513
0.043,45128205.12820513
0.043,45128205.12820513
0.0431,45128205.12820513
0.0431,45128205.12820513
0.0432,45384615.384615384
0.0432,45384615.384615384
0.0433,45384615.384615384
0.0434,45384615.384615384
0.0434,45384615.384615384
0.0435,45384615.384615384
0.0435,45384615.384615384
0.0436,45384615.384615384
0.0436,45384615.384615384
0.0437,45384615.384615384
0.0438,45641025.64102564
0.0438,45641025.64102564
0.043899999999999995,45641025.64102564
0.043899999999999995,45641025.64102564
0.044000000000000004,45641025.64102564
0.044000000000000004,45641025.64102564
0.0441,45641025.64102564
0.044199999999999996,45641025.64102564
0.044199999999999996,45641025.64102564
0.0443,45641025.64102564
0.0443,45641025.64102564
0.0444,45641025.64102564
0.0444,45641025.64102564
0.044500000000000005,45897435.897435896
0.0446,45897435.897435896
0.0446,45897435.897435896
0.0447,45897435.897435896
0.0447,45897435.897435896
0.044800000000000006,45897435.897435896
0.044800000000000006,45897435.897435896
0.0449,45897435.897435896
0.045,45897435.897435896
0.045,45897435.897435896
0.0451,45897435.897435896
0.0451,45897435.897435896
0.0452,45897435.897435896
0.0452,45897435.897435896
0.0453,45897435.897435896
0.0454,45897435.897435896
0.0454,45897435.897435896
0.0455,45897435.897435896
0.0455,45897435.897435896
0.045599999999999995,45897435.897435896
0.045599999999999995,45897435.897435896
0.045700000000000005,45897435.897435896
0.0458,45897435.897435896
0.0458,46153846.15384615
0.045899999999999996,46153846.15384615
0.045899999999999996,46153846.15384615
0.046,46153846.15384615
0.046,46153846.15384615
0.0461,46153846.15384615
0.0462,46153846.15384615
0.0462,46153846.15384615
0.0463,46153846.15384615
0.0463,46153846.15384615
0.0464,46153846.15384615
0.0464,46153846.15384615
0.04650000000000001,46153846.15384615
